User_ID,Username,Email,Signup_Date,Country,Age,Gender,Device_Type,Game_Title,Total_Play_Sessions,Avg_Session_Duration_Min,Total_Hours_Played,In_Game_Purchases_Count,Total_Revenue_USD,Last_Login,Subscription_Tier,Referral_Source,Preferred_Game_Mode,Rank_Tier,Achievement_Score
7280e6c4-6f7c-45dd-a8fc-c58389ea8e07,Geoffreyanderson,Haleymitchell@gmail.com,15-12-2024,Austria,22,Other,Mobile,Mysticwar,21,5.78,38.41,6,27.5,19-05-2025,Silver,Social media,Co-op,Bronze,8721
23c48d4f-f5d0-4ff4-ba0f-2007441b9b57,Riverachristian,Masonmelissa@hotmail.com,07-03-2024,Gabon,22,Other,Pc,Questraid,22,32.53,129.02,10,2.5,12-05-2025,Gold,Ads,Solo,Bronze,3572
Cf8d530c-c137-4346-a78b-e76e36d45e2a,Brownchris,Mnichols@mcmillan.net,19-10-2023,Ireland,36,Female,Pc,Questraid,12,21.55,62.5,5,25.56,03-05-2025,Silver,Organic,Solo,Platinum,1060
47fcbe87-a1c1-40c3-b450-1b5692f61538,Christopher90,Ttaylor@gmail.com,28-09-2023,Belarus,23,Other,Pc,Questraid,19,28.36,79.4,4,132.25,08-05-2025,Silver,Friend,Multiplayer,Diamond,3591
0b620a32-9e77-4b4a-9931-f0b654bef095,Vfreeman,Amanda80@gmail.com,09-08-2024,Slovenia,26,Other,Pc,Questraid,18,17.63,86.7,6,20.79,24-04-2025,Free,Friend,Multiplayer,Diamond,2666
Dffbc115-7354-4512-87b2-1e685d84a5d2,Brian37,Kennethherman@gmail.com,07-04-2024,Cape verde,41,Other,Mobile,Battlezone,25,21.49,125.28,7,57.89,21-05-2025,Silver,Organic,Solo,Gold,5605
177e2ac4-d8db-4304-a3a8-85030639319c,Kellyperry,Curtisannette@yahoo.com,08-03-2025,Niger,19,Male,Mobile,Speedrun,25,18.05,88.02,4,5.23,09-05-2025,Platinum,Friend,Co-op,Bronze,8469
602334ff-fba1-4289-ab6d-bb2fb5705777,Smaldonado,Scottamanda@gmail.com,28-01-2024,Australia,24,Male,Mobile,Battlezone,13,22.37,33.4,4,100,26-04-2025,Free,Ads,Solo,Silver,1392
72876878-6323-4552-a8e6-554f7bf1bc85,Annaschwartz,Ronaldacosta@gmail.com,09-01-2024,Cameroon,29,Male,Mobile,Battlezone,15,27.89,83.58,3,66.61,24-04-2025,Silver,Friend,Co-op,Platinum,89
367648d2-a353-4bd0-b6de-17be14318738,Owallace,Jonathan17@mcmillan.biz,26-11-2024,Morocco,25,Male,Console,Questraid,19,31.83,82.28,3,44.28,08-05-2025,Gold,Friend,Multiplayer,Silver,6958
3d97eabe-4581-4c5b-b467-214599b4e577,Collinhanna,Ryanbrown@murphy-mann.info,05-12-2023,Heard island and mcdonald islands,39,Male,Pc,Speedrun,26,34.08,16.25,5,19.68,17-05-2025,Silver,Organic,Multiplayer,Diamond,2483
